RID,Title,Organization
AACE 29R-03,(2011) Forensic Schedule Analysis,AACE INTERNATIONAL (AACE)
AACE 52R-06,(2006) Time Impact Analysis - As Applied in Construction,AACE INTERNATIONAL (AACE)
AACE 84R-13,(2015) Planning and Accounting for Adverse Weather,AACE INTERNATIONAL (AACE)
ASA S1.4,(1983; Amendment 1985; R 2006) Specification for Sound Level Meters (ASA 47),ACOUSTICAL SOCIETY OF AMERICA (ASA)
ASA S1.11 PART 1,(2014) American National Standard Electroacoustics – Octave-Band and Fractional-Octave-Band Filters – Part 1: Specifications,ACOUSTICAL SOCIETY OF AMERICA (ASA)
ASA S1.13,(2005; R 2010) Methods for the Measurement of Sound Pressure Levels in Air (ASA 118),ACOUSTICAL SOCIETY OF AMERICA (ASA)
ASA S3.1,(1999; R 2018) American National Standard Maximum Permissible Ambient Noise Levels for Audiometric Test Rooms (ASA 99),ACOUSTICAL SOCIETY OF AMERICA (ASA)
ASA S3.2,(2020) American National Standard Method for Measuring the Intelligibility of Speech Over Communication Systems (ASA 85),ACOUSTICAL SOCIETY OF AMERICA (ASA)
ASA S12.54,(2011; R 2016) Acoustics - Determination of Sound Power Levels of Noise Sources Using Sound Pressure - Engineering Method in an Essentially Free Field over a Reflecting Plane,ACOUSTICAL SOCIETY OF AMERICA (ASA)
AIA/NAS NAS410,(2014; Rev 4) NAS Certification &amp; Qualification of Nondestructive Test Personnel,"AEROSPACE INDUSTRIES ASSOCIATION OF AMERICA, INC. (AIA/NAS)"
ABAA Accreditation,Accreditation,AIR BARRIER ASSOCIATION OF AMERICA (ABAA)
ABAA QAP,Quality Assurance Program,AIR BARRIER ASSOCIATION OF AMERICA (ABAA)
AMCA 99,(2016) Standards Handbook,"AIR MOVEMENT AND CONTROL ASSOCIATION INTERNATIONAL, INC. (AMCA)"
AMCA 99-0401,(1986) Classifications for Spark Resistant Construction,"AIR MOVEMENT AND CONTROL ASSOCIATION INTERNATIONAL, INC. (AMCA)"
AMCA 201,(2002; R 2011) Fans and Systems,"AIR MOVEMENT AND CONTROL ASSOCIATION INTERNATIONAL, INC. (AMCA)"
AMCA 203,(1990; R 2011) Field Performance Measurements of Fan Systems,"AIR MOVEMENT AND CONTROL ASSOCIATION INTERNATIONAL, INC. (AMCA)"
AMCA 204,(2005; R 2012) Balance Quality and Vibration Levels for Fans,"AIR MOVEMENT AND CONTROL ASSOCIATION INTERNATIONAL, INC. (AMCA)"
AMCA 210,(2016) Laboratory Methods of Testing Fans for Aerodynamic Performance Rating,"AIR MOVEMENT AND CONTROL ASSOCIATION INTERNATIONAL, INC. (AMCA)"
AMCA 211,(2013; Rev 2017) Certified Ratings Program Product Rating Manual for Fan Air Performance,"AIR MOVEMENT AND CONTROL ASSOCIATION INTERNATIONAL, INC. (AMCA)"
AMCA 220,(2005;R 2012) Test Methods for Air Curtain Units,"AIR MOVEMENT AND CONTROL ASSOCIATION INTERNATIONAL, INC. (AMCA)"
AMCA 300,(2014) Reverberant Room Method for Sound Testing of Fans,"AIR MOVEMENT AND CONTROL ASSOCIATION INTERNATIONAL, INC. (AMCA)"
AMCA 301,(2014) Methods for Calculating Fan Sound Ratings from Laboratory Test Data,"AIR MOVEMENT AND CONTROL ASSOCIATION INTERNATIONAL, INC. (AMCA)"
AMCA 500-D,(2018) Laboratory Methods of Testing Dampers for Rating,"AIR MOVEMENT AND CONTROL ASSOCIATION INTERNATIONAL, INC. (AMCA)"
AMCA 500-L,(2015) Laboratory Methods of Testing Louvers for Rating,"AIR MOVEMENT AND CONTROL ASSOCIATION INTERNATIONAL, INC. (AMCA)"
AMCA 511,(2010; R 2016) Certified Ratings Program for Air Control Devices,"AIR MOVEMENT AND CONTROL ASSOCIATION INTERNATIONAL, INC. (AMCA)"
AMCA 801,(2001; R 2008) Industrial Process/Power Generation Fans:  Specification Guidelines,"AIR MOVEMENT AND CONTROL ASSOCIATION INTERNATIONAL, INC. (AMCA)"
AMCA 802,(2019) Industrial Process/Power Generation Fans:  Establishing Performance Using Laboratory Models,"AIR MOVEMENT AND CONTROL ASSOCIATION INTERNATIONAL, INC. (AMCA)"
AMCA CRP,(Online) Directory of Products Licensed Under the AMCA International Certified Ratings Program,"AIR MOVEMENT AND CONTROL ASSOCIATION INTERNATIONAL, INC. (AMCA)"
AHRI 210/240,(2023) Performance Rating of Unitary Air-Conditioning and Air-Source Heat Pump Equipment,"AIR-CONDITIONING, HEATING AND REFRIGERATION INSTITUTE (AHRI)"
AHRI 260 I-P,(2012) Sound Rating of Ducted Air Moving and Conditioning Equipment,"AIR-CONDITIONING, HEATING AND REFRIGERATION INSTITUTE (AHRI)"
AHRI 340/360 I-P,(2015) Performance Rating of Commercial and Industrial Unitary Air-Conditioning and Heat Pump Equipment,"AIR-CONDITIONING, HEATING AND REFRIGERATION INSTITUTE (AHRI)"
AHRI 350,(2015) Sound Rating of Non-Ducted Indoor Air-Conditioning Equipment,"AIR-CONDITIONING, HEATING AND REFRIGERATION INSTITUTE (AHRI)"
AHRI 365,(2009) Commercial and Industrial Unitary Air-Conditioning Condensing Units,"AIR-CONDITIONING, HEATING AND REFRIGERATION INSTITUTE (AHRI)"
AHRI 366,(2009) Commercial and Industrial Unitary Air-Conditioning Condensing Units,"AIR-CONDITIONING, HEATING AND REFRIGERATION INSTITUTE (AHRI)"
AHRI 390,(2003) Performance Rating of Single Package Vertical Air-Conditioners and Heat Pumps,"AIR-CONDITIONING, HEATING AND REFRIGERATION INSTITUTE (AHRI)"
AHRI 410,(2001; Addendum 1 2002; Addendum 2 2005; Addendum 3 2011) Forced-Circulation Air-Cooling and Air-Heating Coils,"AIR-CONDITIONING, HEATING AND REFRIGERATION INSTITUTE (AHRI)"
