# Discipline mapping file for UFGS parsing
# Format: UFGS,Discipline
# Add new rows as needed. This file is used by UFGS_utils.py
UFGS,Discipline
02 84 16,Electrical
02 84 33,Electrical
08 34 49.00 20,Electrical
08 71 63.10,Electrical
26 05 13.00 10,Electrical
26 05 19.00 10,Electrical
26 05 33,Electrical
26 05 48,Electrical
26 05 73,Electrical
26 08 00,Electrical
26 11 13.00 20,Electrical
26 11 14.00 10,Electrical
26 11 16,Electrical
26 12 19,Electrical
26 12 21,Electrical
26 13 00,Electrical
26 13 01,Electrical
26 13 02,Electrical
26 13 13,Electrical
26 13 14,Electrical
26 13 32,Electrical
26 19 13,Electrical
26 20 00,Electrical
26 22 00.00 10,Electrical
26 23 00,Electrical
26 24 13,Electrical
26 27 29,Electrical
26 28 00.00 10,Electrical
26 29 01.00 10,Electrical
26 29 02.00 10,Electrical
26 29 23,Electrical
26 31 00,Electrical
26 32 15,Electrical
26 33 00,Electrical
26 33 53,Electrical
26 35 43,Electrical
26 35 44,Electrical
26 36 23,Electrical
26 41 00,Electrical
26 42 13,Electrical
26 42 15,Electrical
26 42 17,Electrical
26 42 19.00 10,Electrical
26 51 00,Electrical
26 55 53,Electrical
26 56 00,Electrical
26 56 20,Electrical
27 05 13.43,Electrical
27 05 26,Electrical
27 05 29.00 10,Electrical
27 10 00,Electrical
27 41 00,Electrical
27 51 16,Electrical
27 51 23,Electrical
27 53 19,Electrical
28 08 10,Electrical
28 10 05,Electrical
28 20 02,Electrical
33 71 01,Electrical
33 71 02,Electrical
33 82 00,Electrical
34 60 13,Electrical
35 20 20,Electrical
48 14 00,Electrical
48 15 00,Electrical
48 16 00,Electrical
