Org_ID,Org_Acronym,Org_Name,Org_Full_Name
ORG001,AA,ALUMINUM ASSOCIATION,ALUMINUM ASSOCIATION (AA)
ORG002,AABC,ASSOCIATED AIR BALANCE COUNCIL,ASSOCIATED AIR BALANCE COUNCIL (AABC)
ORG003,AACE,AACE INTERNATIONAL,AACE INTERNATIONAL (AACE)
ORG004,AAMA,AMERICAN ARCHITECTURAL MANUFACTURERS ASSOCIATION,AMERICAN ARCHITECTURAL MANUFACTURERS ASSOCIATION (AAMA)
ORG005,AAMI,ASSOCIATION FOR THE ADVANCEMENT OF MEDICAL INSTRUMENTATION,ASSOCIATION FOR THE ADVANCEMENT OF MEDICAL INSTRUMENTATION (AAMI)
ORG006,AARST,AMERICAN ASSOCIATION OF RADON SCIENTISTS AND TECHNOLOGISTS,AMERICAN ASSOCIATION OF RADON SCIENTISTS AND TECHNOLOGISTS (AARST)
ORG007,AASHTO,AMERICAN ASSOCIATION OF STATE HIGHWAY AND TRANSPORTATION OFFICIALS,AMERICAN ASSOCIATION OF STATE HIGHWAY AND TRANSPORTATION OFFICIALS (AASHTO)
ORG008,AATCC,AMERICAN ASSOCIATION OF TEXTILE CHEMISTS AND COLORISTS,AMERICAN ASSOCIATION OF TEXTILE CHEMISTS AND COLORISTS (AATCC)
ORG009,ABAA,AIR BARRIER ASSOCIATION OF AMERICA,AIR BARRIER ASSOCIATION OF AMERICA (ABAA)
ORG010,ABMA,AMERICAN BEARING MANUFACTURERS ASSOCIATION,AMERICAN BEARING MANUFACTURERS ASSOCIATION (ABMA)
ORG011,ABMA/BOIL,AMERICAN BOILER MANUFACTURERS ASSOCIATION,AMERICAN BOILER MANUFACTURERS ASSOCIATION (ABMA/BOIL)
ORG012,ABS,AMERICAN BUREAU OF SHIPPING,AMERICAN BUREAU OF SHIPPING (ABS)
ORG013,ACGIH,AMERICAN CONFERENCE OF GOVERNMENTAL INDUSTRIAL HYGIENISTS,AMERICAN CONFERENCE OF GOVERNMENTAL INDUSTRIAL HYGIENISTS (ACGIH)
ORG014,ACI,AMERICAN CONCRETE INSTITUTE,AMERICAN CONCRETE INSTITUTE (ACI)
ORG015,ACMA,AMERICAN COMPOSITES MANUFACTURER'S ASSOCIATION,AMERICAN COMPOSITES MANUFACTURER'S ASSOCIATION (ACMA)
ORG016,ACP,AMERICAN CLEAN POWER ASSOCIATION,AMERICAN CLEAN POWER ASSOCIATION (ACP)
ORG017,ACPA,AMERICAN CONCRETE PIPE ASSOCIATION,AMERICAN CONCRETE PIPE ASSOCIATION (ACPA)
ORG018,ACR,AMERICAN COLLEGE OF RADIOLOGY,AMERICAN COLLEGE OF RADIOLOGY (ACR)
ORG019,AEIC,ASSOCIATION OF EDISON ILLUMINATING COMPANIES,ASSOCIATION OF EDISON ILLUMINATING COMPANIES (AEIC)
ORG020,AFF,AMERICAN FOREST FOUNDATION,AMERICAN FOREST FOUNDATION (AFF)
ORG021,AGA,AMERICAN GAS ASSOCIATION,AMERICAN GAS ASSOCIATION (AGA)
ORG022,AGMA,AMERICAN GEAR MANUFACTURERS ASSOCIATION,AMERICAN GEAR MANUFACTURERS ASSOCIATION (AGMA)
ORG023,AH,AMERICANHORT,AMERICANHORT (AH)
ORG024,AHAM,ASSOCIATION OF HOME APPLIANCE MANUFACTURERS,ASSOCIATION OF HOME APPLIANCE MANUFACTURERS (AHAM)
ORG025,AHRI,"AIR-CONDITIONING, HEATING AND REFRIGERATION INSTITUTE","AIR-CONDITIONING, HEATING AND REFRIGERATION INSTITUTE (AHRI)"
ORG026,AI,ASPHALT INSTITUTE,ASPHALT INSTITUTE (AI)
ORG027,AIA/NAS,"AEROSPACE INDUSTRIES ASSOCIATION OF AMERICA, INC.","AEROSPACE INDUSTRIES ASSOCIATION OF AMERICA, INC. (AIA/NAS)"
ORG028,AIHA,AMERICAN INDUSTRIAL HYGIENE ASSOCIATION,AMERICAN INDUSTRIAL HYGIENE ASSOCIATION (AIHA)
ORG029,AISC,AMERICAN INSTITUTE OF STEEL CONSTRUCTION,AMERICAN INSTITUTE OF STEEL CONSTRUCTION (AISC)
ORG030,AISI,AMERICAN IRON AND STEEL INSTITUTE,AMERICAN IRON AND STEEL INSTITUTE (AISI)
ORG031,AIST,ASSOCIATION FOR IRON AND STEEL TECHNOLOGY,ASSOCIATION FOR IRON AND STEEL TECHNOLOGY (AIST)
ORG032,AISWCD,ASSOCIATION OF ILLINOIS SOIL AND WATER CONSERVATION DISTRICTS,ASSOCIATION OF ILLINOIS SOIL AND WATER CONSERVATION DISTRICTS (AISWCD)
ORG033,AITC,AMERICAN INSTITUTE OF TIMBER CONSTRUCTION,AMERICAN INSTITUTE OF TIMBER CONSTRUCTION (AITC)
ORG034,ALI,AMERICAN LADDER INSTITUTE,AMERICAN LADDER INSTITUTE (ALI)
ORG035,ALSC,AMERICAN LUMBER STANDARDS COMMITTEE,AMERICAN LUMBER STANDARDS COMMITTEE (ALSC)
ORG036,AMCA,"AIR MOVEMENT AND CONTROL ASSOCIATION INTERNATIONAL, INC.","AIR MOVEMENT AND CONTROL ASSOCIATION INTERNATIONAL, INC. (AMCA)"
ORG037,ANSI,AMERICAN NATIONAL STANDARDS INSTITUTE,AMERICAN NATIONAL STANDARDS INSTITUTE (ANSI)
ORG038,APA,APA - THE ENGINEERED WOOD ASSOCIATION,APA - THE ENGINEERED WOOD ASSOCIATION (APA)
ORG039,API,AMERICAN PETROLEUM INSTITUTE,AMERICAN PETROLEUM INSTITUTE (API)
