RID,Title,Org_Acronym,Org_Name,Org_ID,Spec_References
10 CFR 20,Standards for Protection Against Radiation,NARA,U.S. NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,ORG186,"{""01 35 26"": [""1.1"", ""1.15""], ""01 35 29.13"": [""1.1"", ""3.5.1.3""]}"
10 CFR 430,Energy Conservation Program for Consumer Products,NARA,U.S. NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,ORG186,"{""22 00 00"": [""1.1"", ""3.11.1.1"", ""3.11.1.2"", ""3.11.1.3"", ""3.11.3.1"", ""3.11.3.2"", ""3.11.3.3"", ""3.12""], ""22 00 70"": [""1.1"", ""2.17"", ""2.17.1.1.1"", ""2.17.1.1.2"", ""2.17.1.1.3"", ""2.17.1.3.1"", ""2.17.1.3.2""]}"
10 CFR 431,Energy Efficiency Program for Certain Commercial and Industrial Equipment,NARA,U.S. NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,ORG186,"{""26 12 19"": [""1.1"", ""2.2.2.1""], ""26 12 21"": [""1.1"", ""2.2.2.1""], ""26 20 00"": [""1.1"", ""2.20.1""], ""33 71 01"": [""1.1"", ""2.15.1""]}"
10 CFR 433.300,Subpart C - Green Building Certification for Federal Buildings,NARA,U.S. NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,ORG186,"{""01 33 29"": [""1.1"", ""1.6.24.1.1"", ""1.6.24.3.1""]}"
10 USC 6011,Navy Regulations,USC,U.S. Code,ORG282,"{""01 14 00"": [""1.1"", ""1.15.5""]}"
11300.3,Base Energy Conservation Regulations,COMNAVBASEGTMOINST,INSTRUCTIONS AND STANDARDS FOR NAVBASE GUANTANAMO BAY CUBA,ORG084,"{""01 14 00"": [""1.1"", ""1.18.6""]}"
14 CFR 77,"Safe, Efficient Use, and Preservation of the Navigable Airspace",NARA,U.S. NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,ORG186,"{""01 35 13"": [""1.1"", ""1.2.3"", ""3.1.2""]}"
15 CFR 772,Definition of Terms,NARA,U.S. NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,ORG186,"{""01 30 00"": [""1.1"", ""1.12""]}"
15 CFR 773,Special Licensing Procedures,NARA,U.S. NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,ORG186,"{""01 30 00"": [""1.1"", ""1.12""]}"
16 CFR 1201,Safety Standard for Architectural Glazing Materials,NARA,U.S. NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,ORG186,"{""08 32 13"": [""1.1"", ""2.1.2""], ""08 81 00"": [""1.1"", ""2.2"", ""2.2.14.1"", ""2.2.14.2"", ""2.2.7""], ""08 87 23.13"": [""1.1"", ""2.2.1""], ""08 88 58"": [""1.3"", ""2.2""], ""13 49 10"": [""1.1"", ""2.8""], ""23 81 23"": [""1.1"", ""2.3""]}"
16 CFR 1209,Interim Safety Standard for Cellulose Insulation,NARA,U.S. NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,ORG186,"{""07 21 23"": [""1.1"", ""1.4.1"", ""2.1""]}"
16 CFR 1404.4,Requirements to Provide Performance and Technical Data by Labeling - Notice to Purchasers,NARA,U.S. NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,ORG186,"{""07 21 23"": [""1.1"", ""1.4.1""]}"
16 CFR 1610,Standard for the Flammability of Clothing Textiles,NARA,U.S. NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,ORG186,"{""12 61 13"": [""1.1"", ""2.2.1.1""]}"
16 CFR 1630,Standard for the Surface Flammability of Carpets and Rugs (FF 1-70),NARA,U.S. NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,ORG186,"{""09 68 00"": [""1.1"", ""2.2.3""]}"
16 CFR 1632,Standard for the Flammability of Mattresses and Mattress Pads (FF 4-72 Amended),NARA,U.S. NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,ORG186,"{""12 50 00.13 10"": [""1.1"", ""2.3.2""]}"
16 CFR 1633,(2006) Standard for the Flammability (Open Flame) of Mattress Sets,NARA,U.S. NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,ORG186,"{""12 55 00"": [""1.1"", ""2.8""]}"
16 USC 1361,Marine Mammal Protection Act,USC,U.S. Code,ORG282,"{""31 23 01"": [""1.3"", ""3.2.11.3""]}"
16 USC 1531,Endangered Species Act,USC,U.S. Code,ORG282,"{""31 23 01"": [""1.3"", ""3.2.11.2""]}"
16 USC 1801,Magnuson-Stevens Act,USC,U.S. Code,ORG282,"{""31 23 01"": [""1.3"", ""3.2.11.6""]}"
16 USC 470,National Historic Preservation Act,USC,U.S. Code,ORG282,"{""31 23 01"": [""1.3"", ""3.2.11.9""]}"
16 USC 668,Bald and Golden Eagle Protection Act,USC,U.S. Code,ORG282,"{""31 23 01"": [""1.3"", ""3.2.11.4""]}"
1710.10,Outdoor Recreational and Wildlife Instruction,COMNAVBASEGTMOINST,INSTRUCTIONS AND STANDARDS FOR NAVBASE GUANTANAMO BAY CUBA,ORG084,"{""01 57 19"": [""1.1"", ""1.5.3.6.1.1"", ""3.22.2.1""]}"
19 USC 13,Trade Agreements Act of 1979,USC,U.S. Code,ORG282,"{""27 41 00"": [""1.1"", ""2.1""]}"
21 CFR 1020,Performance Standards for Ionizing Radiation Emitting Products,NARA,U.S. NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,ORG186,"{""28 10 05"": [""1.1"", ""2.10.1""]}"
21 CFR 1040,Performance Standards for Light-Emitting Products,NARA,U.S. NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,ORG186,"{""34 75 13.13"": [""1.1"", ""2.16.1""]}"
21 CFR 175,Indirect Food Additives: Adhesives and Components of Coatings,NARA,U.S. NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,ORG186,"{""22 00 00"": [""1.1"", ""2.10.4""]}"
21 CFR 701,Cosmetic Labeling,NARA,U.S. NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,ORG186,"{""11 70 00"": [""1.2"", ""2.2.1""]}"
24 CFR 3280,(2019) Manufactured Home Construction and Safety Standards,HUD,U.S. DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT,ORG141,"{""01 14 00"": [""1.1"", ""1.18.14.1.1"", ""1.18.14.1.3""], ""13 34 23.12 10"": [""1.1"", ""1.2.10.1"", ""2.1.5"", ""2.1.6""]}"
29 CFR 1904,Recording and Reporting Occupational Injuries and Illnesses,NARA,U.S. NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,ORG186,"{""01 35 29.13"": [""1.1"", ""1.5.2.2""]}"
29 CFR 1910,Occupational Safety and Health Standards,NARA,U.S. NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,ORG186,"{""01 35 26"": [""1.1"", ""1.16"", ""1.8.7"", ""3.4"", ""3.8.1""], ""01 35 29.13"": [""1.1"", ""1.5.5"", ""2.1"", ""3.10.2"", ""3.3.4"", ""3.9.3""], ""02 54 19.16"": [""1.2"", ""1.4.3.11""], ""02 65 00"": [""1.2"", ""1.5.4.1"", ""1.5.4.6"", ""3.1.5"", ""3.1.7""], ""07 52 00"": [""1.1"", ""1.7.1""], ""08 22 20"": [""1.1"", ""3.1""], ""09 67 23.14"": [""1.1"", ""3.3""], ""09 97 02"": [""1.2"", ""1.3.1.2"", ""1.3.1.4""], ""09 97 10.00 10"": [""1.2"", ""1.4.1"", ""1.4.5.1"", ""1.4.5.2"", ""1.4.6"", ""1.6.7.2"", ""1.6.7.4""], ""11 44 00"": [""1.3"", ""2.3""], ""23 52 49.00 20"": [""1.1"", ""3.1.3""], ""23 81 47"": [""1.1"", ""1.8""], ""26 31 00"": [""1.1"", ""3.12.3""], ""32 01 11.51"": [""1.2"", ""1.8""], ""32 01 29.61"": [""1.2"", ""1.4.2""], ""33 51 39"": [""1.2"", ""1.5.4""], ""33 52 43.11"": [""1.1"", ""2.9.1.14""], ""34 75 13.13"": [""1.1"", ""2.5.1""], ""40 05 13"": [""1.2"", ""1.5""], ""40 17 26.00 20"": [""1.1"", ""1.5.8""], ""41 22 13.14"": [""1.1"", ""1.7"", ""2.2.7"", ""2.2.8"", ""2.4.3""], ""41 22 13.15"": [""1.1"", ""1.7"", ""2.4.3""], ""41 22 13.16"": [""1.1"", ""1.5.7""], ""41 22 13.55"": [""1.1"", ""1.7"", ""2.4.3""], ""41 22 23.19"": [""1.1"", ""1.7"", ""2.4.3""], ""43 31 13.13 10"": [""1.2"", ""1.7""], ""44 10 00"": [""1.1"", ""2.1.4""], ""44 13 51"": [""1.2"", ""2.14.7"", ""2.2.4""], ""46 43 21"": [""1.1"", ""2.3.1""], ""48 06 15"": [""1.2"", ""3.5""], ""48 14 00"": [""1.1"", ""3.12.2""]}"
29 CFR 1910-SUBPART D,Walking - Working Surfaces,NARA,U.S. NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,ORG186,"{""11 05 40"": [""1.1"", ""2.1""], ""11 42 00"": [""1.1"", ""2.1""], ""11 44 00"": [""1.3"", ""2.3""], ""11 46 00"": [""1.1"", ""1.2""], ""11 47 00"": [""1.1"", ""2.1""], ""11 48 00"": [""1.1"", ""2.1""], ""23 51 43.01 20"": [""1.1"", ""2.2.9.1"", ""2.2.9.2""], ""23 52 33.01 20"": [""1.1"", ""2.8.3.5"", ""2.9.12.13""], ""23 52 33.02 20"": [""1.1"", ""2.9.12.13""], ""23 52 33.03 20"": [""1.1"", ""2.7.3.4""], ""23 52 53.00 20"": [""1.1"", ""3.1.3""], ""44 10 00"": [""1.1"", ""2.1.4""]}"
29 CFR 1910-SUBPART Q,"Welding, Cutting, and Brazing",NARA,U.S. NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,ORG186,"{""23 52 33.01 20"": [""1.1"", ""3.1.2.9""], ""23 52 33.02 20"": [""1.1"", ""3.1.3.9""], ""23 52 33.03 20"": [""1.1"", ""3.1.2.9""]}"
29 CFR 1910-SUBPART Z,Toxic and Hazardous Substances,NARA,U.S. NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,ORG186,"{""09 97 13.16"": [""1.1"", ""2.6""], ""09 97 13.17"": [""1.1"", ""2.6""], ""09 97 13.27"": [""1.1"", ""2.7""], ""33 52 80"": [""1.1"", ""2.6""]}"
29 CFR 1910.1000,Air Contaminants,NARA,U.S. NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,ORG186,"{""02 42 91"": [""1.1"", ""1.2.1""], ""02 61 23"": [""1.2"", ""1.7.1""], ""02 84 16"": [""1.1"", ""1.4.3""], ""02 84 33"": [""1.1"", ""1.4.3""], ""07 19 00"": [""1.1"", ""1.7.1""], ""09 67 23.15"": [""1.1"", ""1.5""], ""09 67 23.16"": [""1.1"", ""1.5""], ""09 90 00"": [""1.2"", ""1.8.1""], ""09 97 13.16"": [""1.1"", ""1.7""], ""09 97 13.17"": [""1.1"", ""1.7""], ""09 97 13.25"": [""1.1"", ""1.8""], ""09 97 13.27"": [""1.1"", ""1.7""], ""33 52 80"": [""1.1"", ""1.8""]}"
29 CFR 1910.1001,Asbestos,NARA,U.S. NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,ORG186,"{""09 90 00"": [""1.2"", ""1.8.1""]}"
29 CFR 1910.1018,Inorganic Arsenic,NARA,U.S. NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,ORG186,"{""09 97 13.25"": [""1.1"", ""1.8""]}"
29 CFR 1910.1025,Lead,NARA,U.S. NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,ORG186,"{""09 90 00"": [""1.2"", ""1.8.1""], ""33 01 50.55"": [""1.1"", ""1.3.5"", ""1.5.5"", ""1.5.8"", ""1.5.9"", ""3.7.1""]}"
29 CFR 1910.1028,Benzene,NARA,U.S. NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,ORG186,"{""33 01 50.55"": [""1.1"", ""3.7.1""]}"
29 CFR 1910.1053,Respirable Crystalline Silica,NARA,U.S. NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,ORG186,"{""01 57 19"": [""1.1"", ""3.5.7""]}"
29 CFR 1910.106,Flammable Liquids,NARA,U.S. NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,ORG186,"{""10 44 16"": [""1.1"", ""2.1.1""]}"
29 CFR 1910.109,Explosives and Blasting Agents,NARA,U.S. NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,ORG186,"{""31 23 00.00"": [""1.5"", ""1.8"", ""3.6.2.2""], ""31 23 06.00"": [""1.3"", ""3.4.2""]}"
29 CFR 1910.1096,(2017) Ionizing Radiation,NARA,U.S. NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,ORG186,"{""31 21 13"": [""1.2"", ""1.7"", ""1.7.3"", ""1.7.4"", ""1.8"", ""1.8.1"", ""1.8.3""]}"
29 CFR 1910.12,Construction Work,NARA,U.S. NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,ORG186,"{""07 52 00"": [""1.1"", ""1.7.1""]}"
29 CFR 1910.120,Hazardous Waste Operations and Emergency Response,NARA,U.S. NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,ORG186,"{""01 35 29.13"": [""1.1"", ""1.4.2"", ""1.5.2.1"", ""1.5.4"", ""1.6"", ""2.1"", ""3.3.1"", ""3.4""], ""33 01 50.55"": [""1.1"", ""1.5.8""]}"
29 CFR 1910.1200,Hazard Communication,NARA,U.S. NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,ORG186,"{""01 57 19"": [""1.1"", ""1.2.7""], ""02 54 19.13"": [""1.2"", ""1.4.3.11""], ""04 01 20.73"": [""1.2"", ""1.5.2""], ""04 01 20.75"": [""1.2"", ""1.5.3.3.1""], ""32 17 23.16"": [""1.2"", ""2.2.4.2"", ""2.2.5.1""], ""33 01 50.55"": [""1.1"", ""1.5.11.4"", ""1.5.5"", ""1.5.8"", ""2.1"", ""3.2.5""]}"
29 CFR 1910.132,Personal Protective Equipment,NARA,U.S. NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,ORG186,"{""07 27 36"": [""1.1"", ""1.5.3""]}"
29 CFR 1910.133,Eye and Face Protection,NARA,U.S. NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,ORG186,"{""07 27 36"": [""1.1"", ""1.5.3""]}"
29 CFR 1910.134,Respiratory Protection,NARA,U.S. NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,ORG186,"{""02 85 00"": [""1.1"", ""3.1.1""], ""07 21 13"": [""1.1"", ""1.7.1""], ""07 21 16"": [""1.1"", ""1.5.1""], ""07 21 23"": [""1.1"", ""1.5.1""], ""07 27 36"": [""1.1"", ""1.5.3"", ""1.9.2""], ""09 67 23.15"": [""1.1"", ""1.5""], ""09 67 23.16"": [""1.1"", ""1.5""], ""09 97 02"": [""1.2"", ""1.3.1.3"", ""1.3.1.7""], ""09 97 13.16"": [""1.1"", ""1.7""], ""09 97 13.17"": [""1.1"", ""1.7""], ""09 97 13.25"": [""1.1"", ""1.8""], ""09 97 13.27"": [""1.1"", ""1.7""], ""33 01 50.55"": [""1.1"", ""1.5.11.4"", ""1.5.8"", ""1.5.9"", ""2.2"", ""3.3.1.4""], ""33 52 80"": [""1.1"", ""1.8""]}"
29 CFR 1910.144,Safety Color Code for Marking Physical Hazards,NARA,U.S. NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,ORG186,"{""11 05 40"": [""1.1"", ""2.1""], ""11 42 00"": [""1.1"", ""2.1""], ""11 46 00"": [""1.2"", ""2.1""], ""11 47 00"": [""1.1"", ""2.1""], ""11 48 00"": [""1.1"", ""2.1""], ""22 00 70"": [""1.1"", ""3.11""], ""22 60 70"": [""1.1"", ""3.12""], ""23 21 13.00 20"": [""1.1"", ""3.2.18""], ""23 21 13.23 20"": [""1.1"", ""3.2.6""]}"
